"DownloadUrl","FilePath","FileName","MD5-Hash"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Easton%20Dictionary/SF_2005-05-23_ENG_EASTON_(EASTON%20DICTIONARY).xml",".\ENG\Easton Dictionary\SF_2005-05-23_ENG_EASTON_(EASTON DICTIONARY).xml","SF_2005-05-23_ENG_EASTON_(EASTON DICTIONARY).xml","60F2B3964978AE8F63379CB5D2DDBED5"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/King%20James%20Version%20-%20concordance/SF_2005-12-06_ENG_KJV-CONC_(KING%20JAMES%20VERSION%20-%20CONCORDANCE).xml",".\ENG\King James Version - concordance\SF_2005-12-06_ENG_KJV-CONC_(KING JAMES VERSION - CONCORDANCE).xml","SF_2005-12-06_ENG_KJV-CONC_(KING JAMES VERSION - CONCORDANCE).xml","57CE3D504109A667225BF3DC06E7AF13"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Naves%20Topical%20Bible/SF_2005-07-18_ENG_NAVETB_(NAVE'S%20TOPICAL%20BIBLE).xml",".\ENG\Naves Topical Bible\SF_2005-07-18_ENG_NAVETB_(NAVE'S TOPICAL BIBLE).xml","SF_2005-07-18_ENG_NAVETB_(NAVE'S TOPICAL BIBLE).xml","421FBC364E9D75AD6417C2BED84D7D85"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Revised%201833%20Webster%20Version%20-%20concordance/SF_2005-12-08_ENG_RWEBSTER-CONC_(REVISED%201833%20WEBSTER%20VERSION%20-%20CONCORDANCE).xml",".\ENG\Revised 1833 Webster Version - concordance\SF_2005-12-08_ENG_RWEBSTER-CONC_(REVISED 1833 WEBSTER VERSION - CONCORDANCE).xml","SF_2005-12-08_ENG_RWEBSTER-CONC_(REVISED 1833 WEBSTER VERSION - CONCORDANCE).xml","2FF8AF4BEDA1F2B8D4F28F428BC48B9B"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Robinsons%20Morphological%20Analysis%20Codes/SF_2005-05-23_ENG_ROBIN_(ROBINSON'S%20MORPHOLOGICAL%20ANALYSIS%20CODES).xml",".\ENG\Robinsons Morphological Analysis Codes\SF_2005-05-23_ENG_ROBIN_(ROBINSON'S MORPHOLOGICAL ANALYSIS CODES).xml","SF_2005-05-23_ENG_ROBIN_(ROBINSON'S MORPHOLOGICAL ANALYSIS CODES).xml","2EE26001FC7BD872FD4F438CA4144680"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Robinsons%20Morphological%20Analysis%20Codes/SF_2005-05-27_ENG_SMITH_(ROBINSON'S%20MORPHOLOGICAL%20ANALYSIS%20CODES).xml",".\ENG\Robinsons Morphological Analysis Codes\SF_2005-05-27_ENG_SMITH_(ROBINSON'S MORPHOLOGICAL ANALYSIS CODES).xml","SF_2005-05-27_ENG_SMITH_(ROBINSON'S MORPHOLOGICAL ANALYSIS CODES).xml","44B8D631ED6664F51343A114BC89B78A"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/ENG/Thompson%20Chain%20Topics/SF_2005-05-27_ENG_TCT_(THOMPSON%20CHAIN%20TOPICS).xml",".\ENG\Thompson Chain Topics\SF_2005-05-27_ENG_TCT_(THOMPSON CHAIN TOPICS).xml","SF_2005-05-27_ENG_TCT_(THOMPSON CHAIN TOPICS).xml","5F25184D3B0365B9EBF6DFBB71A7A4A2"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/GER/Carl%20Heinrich%20Riegers%20Kommentar/SF_2006-01-24_GER_RIEG_(CARL%20HEINRICH%20RIEGERS%20KOMMENTAR).xml",".\GER\Carl Heinrich Riegers Kommentar\SF_2006-01-24_GER_RIEG_(CARL HEINRICH RIEGERS KOMMENTAR).xml","SF_2006-01-24_GER_RIEG_(CARL HEINRICH RIEGERS KOMMENTAR).xml","7E01DE7F03C01414D3DD2D796173A5CB"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/GER/Die%20Elberfelderbibel%20alt%20-%20Konkordanz/SF_2005-12-09_GER_ELBALT-KOK_(DIE%20ELBERFELDERBIBEL%20ALT%20-%20KONKORDANZ).xml",".\GER\Die Elberfelderbibel alt - Konkordanz\SF_2005-12-09_GER_ELBALT-KOK_(DIE ELBERFELDERBIBEL ALT - KONKORDANZ).xml","SF_2005-12-09_GER_ELBALT-KOK_(DIE ELBERFELDERBIBEL ALT - KONKORDANZ).xml","3BCDBAF52E958520E8C45F46832D63DF"
"https://raw.githubusercontent.com/kohelet-net-admin/zefania-xml-bibles/master/Dictionaries/GER/Die%20Elberfelderbibel%20von%201905%20-%20Konkordanz/SF_2006-03-08_GER_ELB1905-KOK_(DIE%20ELBERFELDERBIBEL%20VON%201905%20-%20KONKORDANZ).xml",".\GER\Die Elberfelderbibel von 1905 - Konkordanz\SF_2006-03-08_GER_ELB1905-KOK_(DIE ELBERFELDERBIBEL VON 1905 - KONKORDANZ).xml","SF_2006-03-08_GER_ELB1905-KOK_(DIE ELBERFELDERBIBEL VON 1905 - KONKORDANZ).xml","7879885D56D8E2A2F7E20724ACC69FBD"
